"Fahrzeugmodell";"Marke";"Markenindikator";"Modellfamilie";"Markteinführung weltweit";"Modelljahr";"Entwicklungstyp";"Modellstatus";"Fahrzeugsegment";"Karosserieart";"Karosserieart-Spezifikation";"Antriebsart";"Fahrzeugprojekt";"Beschränkung";"UUID";"Schwestermodell";"Schwestermodell";"Modellausführung";"Basisfahrzeug"
"Aston Martin V8 Vantage (2013)";"Aston Martin";"Luxury";"Aston Martin V8/V12 Vantage";"01.01.2012";"2013";"Facelift";"ausgelaufen";"D (Oberklasse)";"Coupe";"Coupe Sport";"ICE";;"Keine";"e364d765-5867-453f-b5ec-294b48726868";;;;
"Aston Martin V8 Vantage (2019)";"Aston Martin";"Luxury";"Aston Martin V8/V12 Vantage";"01.04.2018";"2019";"Neuentwicklung";"aktuell";"D (Oberklasse)";"Coupe";"Coupe Sport";"ICE";;"Keine";"ea217609-699f-4d0d-9537-96267eaab9d9";;;;
"Aston Martin V8 Vantage Roadster (2007)";"Aston Martin";"Luxury";"Aston Martin V8/V12 Vantage";"01.06.2006";"2007";"Neuentwicklung";"ausgelaufen";"D (Oberklasse)";"Cabriolet/Roadster";"Roadster";"ICE";;"Keine";"09f027dd-0bdf-4459-ad3b-bb034afead1b";;;;
"Aston Martin V8 Vantage Roadster (2012)";"Aston Martin";"Luxury";"Aston Martin V8/V12 Vantage";"01.01.2011";"2012";"Facelift";"ausgelaufen";"D (Oberklasse)";"Cabriolet/Roadster";"Roadster";"ICE";;"Keine";"10a47019-c891-48c6-92fd-0dccb00da903";;;;
"Aston Martin V8 Vantage Roadster (2021)";"Aston Martin";"Luxury";"Aston Martin V8/V12 Vantage";"01.05.2020";"2021";"Neuentwicklung";"aktuell";"D (Oberklasse)";"Cabriolet/Roadster";"Roadster";"ICE";;"Keine";"e5376f15-7e6f-4366-b20f-be45a8c3abf1";;;;
"Aston Martin Valhalla (2023)";"Aston Martin";"Luxury";;"01.01.2023";"2023";"Neuentwicklung";"aktuell";"E (Luxusklasse)";"Coupe";"Coupe Sport";"PHEV";;"Keine";"c6da04a5-3cef-48a3-84c4-7093c7ade08b";;;;
"Aston Martin Valkyrie Spider (2023)";"Aston Martin";"Luxury";;"01.10.2022";"2023";"Neuentwicklung";"aktuell";"E (Luxusklasse)";"Cabriolet/Roadster";"Roadster";"HEV";;"Keine";"4ee5e3bc-0518-4d49-a1cf-0899c761c5f8";;;;
"Aston Martin Vanquish (2013)";"Aston Martin";"Luxury";"Aston Martin Vanquish";"01.12.2012";"2013";"Neuentwicklung";"ausgelaufen";"E (Luxusklasse)";"Coupe";"Coupe Sport";"ICE";;"Keine";"fa534f37-da3f-4a96-9257-4ef364e0640b";;;;
"Aston Martin Vanquish Volante (2014)";"Aston Martin";"Luxury";"Aston Martin Vanquish";"01.07.2013";"2014";"Neuentwicklung";"ausgelaufen";"E (Luxusklasse)";"Cabriolet/Roadster";"Cabriolet";"ICE";;"Keine";"b4552f35-285e-40d1-96d5-4a6d2de441d6";;;;
"Aston Martin Virage (2012)";"Aston Martin";"Luxury";"Aston Martin Virage";"01.01.2011";"2012";"Neuentwicklung";"ausgelaufen";"D (Oberklasse)";"Coupe";"Coupe Sport";"ICE";;"Keine";"cdab009a-a3bc-4bed-b33b-97c74ca85e05";;;;
"Aston Martin Virage Volante (2012)";"Aston Martin";"Luxury";"Aston Martin Virage";"01.01.2011";"2012";"Neuentwicklung";"ausgelaufen";"D (Oberklasse)";"Cabriolet/Roadster";"Cabriolet";"ICE";;"Keine";"34ac4592-8ab5-4862-a971-fbfc8b6408e8";;;;
"Audi 100 C1 Coupe (1971)";"Audi";"Premium";"Audi 100";"01.07.1970";"1971";"Neuentwicklung";"ausgelaufen";"C (obere Mittelklasse)";"Coupe";"Coupe Saloon";"ICE";;"Keine";"01aa6396-45a2-4f57-bfb0-170ea2b1d476";;;;
"Audi 100 C1 Limousine (1969)";"Audi";"Premium";"Audi 100";"01.10.1969";"1969";"Neuentwicklung";"ausgelaufen";"C (obere Mittelklasse)";"Sedan";"Sedan Standard";"ICE";;"Keine";"0cbd9a83-2dc3-49a8-b770-a548f6654888";;;;
"Audi 100 C2 Avant (1978)";"Audi";"Premium";"Audi 100";"01.09.1977";"1978";"Neuentwicklung";"ausgelaufen";"C (obere Mittelklasse)";"Estate";"Estate standard";"ICE";;"Keine";"22f6522f-18a0-4513-a70f-4fe1c7b8c644";;;;
"Audi 100 C2 Avant (1980)";"Audi";"Premium";"Audi 100";"01.08.1979";"1980";"Facelift";"ausgelaufen";"C (obere Mittelklasse)";"Estate";"Estate standard";"ICE";;"Keine";"f873336f-ab9a-482f-a1f2-910f508deec9";;;;
"Audi 100 C2 Limousine (1977)";"Audi";"Premium";"Audi 100";"01.08.1976";"1977";"Neuentwicklung";"ausgelaufen";"C (obere Mittelklasse)";"Sedan";"Sedan Standard";"ICE";;"Keine";"cdddca7a-b0fe-45d4-b0fa-edc2136ee1be";"Audi 5000 C2 (1977)";;;
"Audi 100 C2 Limousine (1980)";"Audi";"Premium";"Audi 100";"01.08.1979";"1980";"Facelift";"ausgelaufen";"C (obere Mittelklasse)";"Sedan";"Sedan Standard";"ICE";;"Keine";"51148ee0-e8a2-48a1-9141-b10efa33afe2";"Audi 5000 C2 (1980)";;;
"Audi 100 C3 Avant (1984)";"Audi";"Premium";"Audi 100";"01.08.1983";"1984";"Neuentwicklung";"ausgelaufen";"C (obere Mittelklasse)";"Estate";"Estate standard";"ICE";;"Keine";"8bf1d406-ba1d-432e-9094-fda84f6d5585";;;;
"Audi 100 C3 Limousine (1983)";"Audi";"Premium";"Audi 100";"01.08.1982";"1983";"Neuentwicklung";"ausgelaufen";"C (obere Mittelklasse)";"Sedan";"Sedan Standard";"ICE";;"Keine";"fded2a00-2ecb-4b8e-a3d8-d55d6feb0aec";"Audi 5000 C3 Sedan (1983)";;;
"Audi 100 C4 Avant (1992)";"Audi";"Premium";"Audi 100";"01.01.1991";"1992";"Neuentwicklung";"ausgelaufen";"C (obere Mittelklasse)";"Estate";"Estate standard";"ICE";;"Keine";"faf21773-055f-4907-91f6-775847019fe2";;;;
"Audi 100 C4 Limousine (1992)";"Audi";"Premium";"Audi 100";"01.01.1991";"1992";"Neuentwicklung";"ausgelaufen";"C (obere Mittelklasse)";"Sedan";"Sedan Standard";"ICE";;"Keine";"4e60e8b4-c0b9-45a6-afa3-4d20bf14a993";;;"Audi 100 duo (1990)";
"Audi 100 duo (1990)";"Audi";"Premium";"Audi 100";"01.01.1989";"1990";"Neuentwicklung";"ausgelaufen";"C (obere Mittelklasse)";"Estate";;"ICE";;"Keine";"a11ba967-9642-4b0b-b1f1-ff9334846d92";;;;"Audi 100 C4 Limousine (1992)"
"Audi 4000 B2 (1979)";"Audi";"Premium";"Audi 4000";"01.01.1979";"1979";"Neuentwicklung";"ausgelaufen";"B (Mittelklasse)";"Sedan";"Sedan Standard";"ICE";;"Keine";"5205ec53-43d5-495e-8475-73c3683ecaa4";;"Audi 80 B2 (1979)";;
"Audi 4000 B2 (1985)";"Audi";"Premium";"Audi 4000";"01.01.1985";"1985";"Facelift";"ausgelaufen";"B (Mittelklasse)";"Sedan";"Sedan Standard";"ICE";;"Keine";"d02e9df2-66bb-44bb-a4f1-fdc869a2b52d";;;;
"Audi 50 (1975)";"Audi";"Premium";"Audi 50";"26.10.1974";"1975";"Neuentwicklung";"ausgelaufen";"A0 (Kleinwagen)";"Hatchback";;"ICE";;"Keine";"acd17c19-cea4-42dc-ad19-66377bfdaabc";;;;
"Audi 5000 C2 (1977)";"Audi";"Premium";"Audi 5000";"01.01.1977";"1977";"Neuentwicklung";"ausgelaufen";"C (obere Mittelklasse)";"Sedan";"Sedan Standard";"ICE";;"Keine";"e1e94ba8-48d9-47c4-98cd-562669a6bcdb";;"Audi 100 C2 Limousine (1977)";;
"Audi 5000 C2 (1980)";"Audi";"Premium";"Audi 5000";"01.01.1980";"1980";"Facelift";"ausgelaufen";"C (obere Mittelklasse)";"Sedan";"Sedan Standard";"ICE";;"Keine";"8cb9d0fe-60e4-4ef8-9255-efee093d6308";;"Audi 100 C2 Limousine (1980)";;
"Audi 5000 C3 Sedan (1983)";"Audi";"Premium";"Audi 5000";"01.01.1983";"1983";"Neuentwicklung";"ausgelaufen";"C (obere Mittelklasse)";"Sedan";"Sedan Standard";"ICE";;"Keine";"1b2eff1f-c33a-423d-81fa-73ec5ef1ee90";;"Audi 100 C3 Limousine (1983)";;
"Audi 80 B1 - Typ 80 (1973)";"Audi";"Premium";"Audi 80";"01.06.1972";"1973";"Neuentwicklung";"ausgelaufen";"B (Mittelklasse)";"Sedan";"Sedan Standard";"ICE";;"Keine";"42880c69-77a2-43d4-bd7c-b8f467f2ea5c";;;;
"Audi 80 B1 - Typ 82 (1977)";"Audi";"Premium";"Audi 80";"01.08.1976";"1977";"Facelift";"ausgelaufen";"B (Mittelklasse)";"Sedan";"Sedan Standard";"ICE";;"Keine";"872a84f1-bc28-464f-8c17-ab6b4e961c40";;;;
"Audi 80 B2 (1979)";"Audi";"Premium";"Audi 80";"01.09.1978";"1979";"Neuentwicklung";"ausgelaufen";"B (Mittelklasse)";"Sedan";"Sedan Standard";"ICE";;"Keine";"886ef31c-fe28-430a-bedc-7f2729e3bc60";"Audi 4000 B2 (1979)";;;
"Audi 80 B2 (1985)";"Audi";"Premium";"Audi 80";"01.08.1984";"1985";"Facelift";"ausgelaufen";"B (Mittelklasse)";"Sedan";"Sedan Standard";"ICE";;"Keine";"9628bdd9-beaa-438b-ba1d-95d386b9442e";;"Audi 90 B2 (1985)";;
"Audi 80 B3 (1987)";"Audi";"Premium";"Audi 80";"01.08.1986";"1987";"Neuentwicklung";"ausgelaufen";"B (Mittelklasse)";"Sedan";"Sedan Standard";"ICE";;"Keine";"13fc9ba4-bde3-4567-afc4-ee86f2d7af45";;;;
"Audi 80 B4 Avant (1993)";"Audi";"Premium";"Audi 80";"01.07.1992";"1993";"Facelift";"ausgelaufen";"B (Mittelklasse)";"Estate";"Estate standard";"ICE";;"Keine";"ed6fe300-9cb6-4e5b-b392-417455c5e6d1";;;"Audi RS2 Avant (1994)|Audi S2 Avant (1993)";
"Audi 80 B4 Limousine (1992)";"Audi";"Premium";"Audi 80";"01.09.1991";"1992";"Facelift";"ausgelaufen";"B (Mittelklasse)";"Sedan";"Sedan Standard";"ICE";;"Keine";"d350fa9e-fef7-4f7b-a22d-0bd44e78f176";;;"Audi S2 Limousine (1994)";
"Audi 90 B2 (1985)";"Audi";"Premium";"Audi 90";"01.08.1984";"1985";"Neuentwicklung";"ausgelaufen";"B (Mittelklasse)";"Sedan";"Sedan Standard";"ICE";;"Keine";"02016e9e-d809-4bfe-a8d6-3345cd287ed2";"Audi 80 B2 (1985)";;;
"Audi 90 B3 (1988)";"Audi";"Premium";"Audi 90";"01.05.1987";"1988";"Neuentwicklung";"ausgelaufen";"B (Mittelklasse)";"Sedan";"Sedan Standard";"ICE";;"Keine";"d5d97b2c-88d2-48a7-b27f-9a68ce1025e6";;;;
"Audi A1 (2011)";"Audi";"Premium";"Audi A1";"01.01.2010";"2011";"Neuentwicklung";"ausgelaufen";"A0 (Kleinwagen)";"Hatchback";"Hatchback standard";"ICE";"AU210/0EU_K";"Keine";"db5fd549-9377-42a8-a8cf-584327aa9e57";;;;
"Audi A1 (2015)";"Audi";"Premium";"Audi A1";"01.02.2015";"2015";"Facelift";"ausgelaufen";"A0 (Kleinwagen)";"Hatchback";"Hatchback standard";"ICE";"AU210/0EU_K1";"Keine";"f53ded4c-34a3-4e70-a061-64f7fd5b708d";;;"Audi S1 (2015)";
"Audi A1 allstreet / citycarver (2020)";"Audi";"Premium";"Audi A1";"30.09.2019";"2020";"Neuentwicklung";"aktuell";"A0 (Kleinwagen)";"Hatchback";"Hatchback high";"ICE";"AU270/1EU_KA";"Keine";"a628569b-53e5-4868-8fbc-be4fd1ed8626";;;;"Audi A1 Sportback (2019)"
"Audi A1 Sportback (2013)";"Audi";"Premium";"Audi A1";"01.03.2012";"2013";"Neuentwicklung";"ausgelaufen";"A0 (Kleinwagen)";"Hatchback";"Hatchback standard";"ICE";"AU210/1EU_K";"Keine";"ba19a9c8-37b3-42e9-a478-2f5bc4232c3e";;;;
"Audi A1 Sportback (2015)";"Audi";"Premium";"Audi A1";"26.01.2015";"2015";"Facelift";"ausgelaufen";"A0 (Kleinwagen)";"Hatchback";"Hatchback standard";"ICE";"AU210/1EU_K1";"Keine";"6aeb61c7-f897-47e4-9aef-a70bdb511b95";;;"Audi S1 Sportback (2015)";
"Audi A1 Sportback (2019)";"Audi";"Premium";"Audi A1";"05.11.2018";"2019";"Neuentwicklung";"aktuell";"A0 (Kleinwagen)";"Hatchback";"Hatchback standard";"ICE";"AU270/1EU_K";"Keine";"bbd80058-93ec-4ab5-8cfc-665a28b2a06e";;;"Audi A1 allstreet / citycarver (2020)";
"Audi A2 (2001)";"Audi";"Premium";"Audi A2";"28.02.2000";"2001";"Neuentwicklung";"ausgelaufen";"A0 (Kleinwagen)";"Hatchback";;"ICE";"AU240/2EU_K";"Keine";"681c7537-b4f3-4091-b8a9-93ce5f3a8a01";;;;
"Audi A3 (2004)";"Audi";"Premium";"Audi A3";"01.05.2003";"2004";"Neuentwicklung";"ausgelaufen";"A (Kompaktklasse)";"Hatchback";"Hatchback standard";"ICE";"AU350/0EU_K";"Keine";"ffa97a80-c709-43fa-8c46-c94fd7d30396";;;"Audi S3 (2007)";
"Audi A3 (2009)";"Audi";"Premium";"Audi A3";"01.01.2008";"2009";"Facelift";"ausgelaufen";"A (Kompaktklasse)";"Hatchback";"Hatchback standard";"ICE";"AU350/0EU_K1";"Keine";"009ce89a-951f-49c3-a562-94d6fbc30443";;;"Audi S3 (2009)";
"Audi A3 (2013)";"Audi";"Premium";"Audi A3";"24.08.2012";"2013";"Neuentwicklung";"ausgelaufen";"A (Kompaktklasse)";"Hatchback";"Hatchback standard";"ICE";"AU370/0EU_K";"Keine";"51bae36d-48b5-4175-8e24-8fbfc1a92548";;;"Audi S3 (2013)";
"Audi A3 (2017)";"Audi";"Premium";"Audi A3";"01.07.2016";"2017";"Facelift";"ausgelaufen";"A (Kompaktklasse)";"Hatchback";"Hatchback standard";"ICE";"AU370/0EU_K1";"Keine";"ce32435e-69d6-4cc7-811c-bbbc07317e58";;;"Audi S3 (2017)";
"Audi A3 - EU (1997)";"Audi";"Premium";"Audi A3";"01.01.1996";"1997";"Neuentwicklung";"ausgelaufen";"A (Kompaktklasse)";"Hatchback";"Hatchback standard";"ICE";"AU340/0EU_K";"Keine";"181d0390-828c-494b-aaf9-8f72f4e4ad0f";;;"Audi A3 - LA (1998)|Audi S3 (1999)|Audi S3 (2002)";
"Audi A3 - LA (1998)";"Audi";"Premium";"Audi A3";"01.05.1997";"1998";"Neuentwicklung";"ausgelaufen";"A (Kompaktklasse)";"Hatchback";"Hatchback standard";"ICE";"AU340/0LA_K";"Keine";"12fbe256-0473-4874-b68f-32506b724ae5";;;;"Audi A3 - EU (1997)"
"Audi A3 Cabriolet (2009)";"Audi";"Premium";"Audi A3";"01.03.2008";"2009";"Neuentwicklung";"ausgelaufen";"A (Kompaktklasse)";"Cabriolet/Roadster";"Cabriolet";"ICE";"AU355/0EU_K";"Keine";"5891d750-beec-4b1c-a4ac-f97e9248a8c0";;;;
"Audi A3 Cabriolet (2015)";"Audi";"Premium";"Audi A3";"01.03.2014";"2015";"Neuentwicklung";"ausgelaufen";"A (Kompaktklasse)";"Cabriolet/Roadster";"Cabriolet";"ICE";"AU375/0EU_K";"Keine";"e05e1407-49c3-4290-8d36-1d6a038d2e08";;;"Audi S3 Cabriolet (2015)";
"Audi A3 Cabriolet (2017)";"Audi";"Premium";"Audi A3";"25.07.2016";"2017";"Facelift";"ausgelaufen";"A (Kompaktklasse)";"Cabriolet/Roadster";"Cabriolet";"ICE";"AU375/0EU_K1";"Keine";"a873e84e-0fff-417b-a076-0dedf536891d";;;"Audi S3 Cabriolet (2017)";
"Audi A3 Limousine - CN (2015)";"Audi";"Premium";"Audi A3";"05.09.2014";"2015";"Neuentwicklung";"ausgelaufen";"A (Kompaktklasse)";"Sedan";"Sedan Standard";"ICE";"AU371/0CN_K";"Keine";"7b3c40d2-5916-428c-bdf3-487978b9c3fc";;;;"Audi A3 Limousine - EU (2014)"
"Audi A3 Limousine - CN (2018)";"Audi";"Premium";"Audi A3";"15.05.2017";"2018";"Facelift";"ausgelaufen";"A (Kompaktklasse)";"Sedan";"Sedan Standard";"ICE";"AU371/0CN_K1";"Keine";"a941a079-e2e3-48da-afaf-c2abd04dbf8b";;;;"Audi A3 Limousine - EU (2017)"
"Audi A3 Limousine - EU (2014)";"Audi";"Premium";"Audi A3";"01.09.2013";"2014";"Neuentwicklung";"ausgelaufen";"A (Kompaktklasse)";"Sedan";"Sedan Standard";"ICE";"AU371/0EU_K";"Keine";"21546c91-8e58-4dd7-bd57-ad6a2ca00505";;;"Audi A3 Limousine - CN (2015)|Audi A3 Limousine - IN (2014)|Audi A3 Limousine - LA (2015)|Audi S3 Limousine (2014)";
"Audi A3 Limousine - EU (2017)";"Audi";"Premium";"Audi A3";"22.08.2016";"2017";"Facelift";"ausgelaufen";"A (Kompaktklasse)";"Sedan";"Sedan Standard";"ICE";"AU371/0EU_K1";"Keine";"9fbf4459-e81f-4575-af6d-eab71e129d8f";;;"Audi A3 Limousine - CN (2018)|Audi A3 Limousine - IN (2017)|Audi A3 Limousine - LA (2018)|Audi RS3 Limousine (2018)|Audi S3 Limousine (2017)";
"Audi A3 Limousine - EU (2021)";"Audi";"Premium";"Audi A3";"13.07.2020";"2021";"Neuentwicklung";"aktuell";"A (Kompaktklasse)";"Sedan";"Sedan Standard";"ICE";"AU381/0EU_K";"Keine";"83008e9c-23ef-4281-b005-4ceb8318dcf2";;;"Audi A3L - CN (2021)|Audi RS3 Limousine (2022)|Audi S3 Limousine (2021)";
"Audi A3 Limousine - IN (2014)";"Audi";"Premium";"Audi A3";"01.01.2014";"2014";"Neuentwicklung";"ausgelaufen";"A (Kompaktklasse)";"Sedan";"Sedan Standard";"ICE";"AU371/0IN_K";"Keine";"c5c3beca-04a6-4d50-9b63-2208c8854de3";;;;"Audi A3 Limousine - EU (2014)"
"Audi A3 Limousine - IN (2017)";"Audi";"Premium";"Audi A3";"17.10.2016";"2017";"Facelift";"ausgelaufen";"A (Kompaktklasse)";"Sedan";"Sedan Standard";"ICE";"AU371/0IN_K1";"Keine";"e6951d98-5844-4f35-ba61-f055a3d95d73";;;;"Audi A3 Limousine - EU (2017)"
"Audi A3 Limousine - LA (2015)";"Audi";"Premium";"Audi A3";"01.01.2015";"2015";"Neuentwicklung";"ausgelaufen";"A (Kompaktklasse)";"Sedan";"Sedan Standard";"ICE";"AU371/0LA_K";"Keine";"6f1521d5-5fae-4501-ae88-8c993f99547f";;;;"Audi A3 Limousine - EU (2014)"
"Audi A3 Limousine - LA (2018)";"Audi";"Premium";"Audi A3";"01.04.2017";"2018";"Facelift";"ausgelaufen";"A (Kompaktklasse)";"Sedan";"Sedan Standard";"ICE";"AU371/0LA_K1";"Keine";"1c361b2e-bf32-470f-b9aa-0ed563dca1d6";;;;"Audi A3 Limousine - EU (2017)"
"Audi A3 Sportback (2005)";"Audi";"Premium";"Audi A3";"01.09.2004";"2005";"Neuentwicklung";"ausgelaufen";"A (Kompaktklasse)";"Hatchback";"Hatchback standard";"ICE";"AU350/1EU_K";"Keine";"737c82c2-fc9f-4391-af64-592c0b2c825f";;;;
"Audi A3 Sportback (2009)";"Audi";"Premium";"Audi A3";"01.01.2008";"2009";"Facelift";"ausgelaufen";"A (Kompaktklasse)";"Hatchback";"Hatchback standard";"ICE";"AU350/1EU_K1";"Keine";"981e80d9-f39b-4016-9cfd-54293c1df7f8";;;"Audi RS3 Sportback (2011)|Audi S3 Sportback (2009)";
"Audi A3 Sportback - CN (2014)";"Audi";"Premium";"Audi A3";"21.03.2014";"2014";"Neuentwicklung";"ausgelaufen";"A (Kompaktklasse)";"Hatchback";"Hatchback standard";"ICE";"AU370/1CN_K";"Keine";"1bf31174-2984-42c8-a817-d979434fd3cd";;;;"Audi A3 Sportback - EU (2013)"
"Audi A3 Sportback - CN (2018)";"Audi";"Premium";"Audi A3";"15.05.2017";"2018";"Facelift";"ausgelaufen";"A (Kompaktklasse)";"Hatchback";"Hatchback standard";"ICE";"AU370/1CN_K1";"Keine";"283a2902-c062-4034-a34b-f0bafd0bbb02";;;;"Audi A3 Sportback - EU (2017)"
"Audi A3 Sportback - CN (2021)";"Audi";"Premium";"Audi A3";"18.01.2021";"2021";"Neuentwicklung";"aktuell";"A (Kompaktklasse)";"Hatchback";"Hatchback standard";"ICE";"AU380/1CN_K";"Keine";"f5cb46f9-2cd6-4eeb-b7e6-a295a75fac77";;;;"Audi A3 Sportback - EU (2021)"
"Audi A3 Sportback - EU (2013)";"Audi";"Premium";"Audi A3";"01.02.2013";"2014";"Neuentwicklung";"ausgelaufen";"A (Kompaktklasse)";"Hatchback";"Hatchback standard";"ICE";"AU370/1EU_K";"Keine";"0a845f0d-63d7-4003-8864-8e7958916164";;;"Audi A3 Sportback - CN (2014)|Audi A3 Sportback e-tron (2015)|Audi A3 Sportback g-tron (2014)|Audi RS3 Sportback (2015)|Audi S3 Sportback (2014)";
"Audi A3 Sportback - EU (2017)";"Audi";"Premium";"Audi A3";"22.08.2016";"2017";"Facelift";"ausgelaufen";"A (Kompaktklasse)";"Hatchback";"Hatchback standard";"ICE";"AU370/1EU_K1";"Keine";"84120fea-0c74-4948-ae2f-20f5dc711d41";;;"Audi A3 Sportback - CN (2018)|Audi A3 Sportback e-tron (2017)|Audi A3 Sportback g-tron (2017)|Audi RS3 Sportback (2018)|Audi S3 Sportback (2017)";
"Audi A3 Sportback - EU (2021)";"Audi";"Premium";"Audi A3";"15.06.2020";"2021";"Neuentwicklung";"aktuell";"A (Kompaktklasse)";"Hatchback";"Hatchback standard";"ICE";"AU380/1EU_K";"Keine";"b31317c5-5698-46c7-825f-3377858c3860";;;"Audi A3 Sportback - CN (2021)|Audi A3 Sportback g-tron (2021)|Audi A3 Sportback TFSI e (2021)|Audi RS3 Sportback (2022)|Audi S3 Sportback (2021)";
"Audi A3 Sportback e-tron (2015)";"Audi";"Premium";"Audi A3";"01.08.2014";"2015";"Neuentwicklung";"ausgelaufen";"A (Kompaktklasse)";"Hatchback";"Hatchback standard";"PHEV";"AU370/1EU_P";"Keine";"7cf1442c-9bc2-4a2a-83ae-fb85ba87a563";;;;"Audi A3 Sportback - EU (2013)"
"Audi A3 Sportback e-tron (2017)";"Audi";"Premium";"Audi A3";"17.10.2016";"2017";"Facelift";"ausgelaufen";"A (Kompaktklasse)";"Hatchback";"Hatchback standard";"PHEV";"AU370/1EU_P1";"Keine";"4421758e-5c72-4024-b3d6-740b48dd8f05";;;;"Audi A3 Sportback - EU (2017)"
"Audi A3 Sportback g-tron (2014)";"Audi";"Premium";"Audi A3";"01.01.2014";"2014";"Neuentwicklung";"ausgelaufen";"A (Kompaktklasse)";"Hatchback";"Hatchback standard";"CNG / Erdgas";"AU370/1EU_C";"Keine";"3ae39de3-4170-4400-8fad-dbbee1b867c8";;;;"Audi A3 Sportback - EU (2013)"
"Audi A3 Sportback g-tron (2017)";"Audi";"Premium";"Audi A3";"17.10.2016";"2017";"Facelift";"ausgelaufen";"A (Kompaktklasse)";"Hatchback";"Hatchback standard";"CNG / Erdgas";"AU370/1EU_C1";"Keine";"13297ab5-1a12-45e6-ad49-108476d9ea79";;;;"Audi A3 Sportback - EU (2017)"
"Audi A3 Sportback g-tron (2021)";"Audi";"Premium";"Audi A3";"21.12.2020";"2021";"Neuentwicklung";"aktuell";"A (Kompaktklasse)";"Hatchback";"Hatchback standard";"CNG / Erdgas";"AU380/1EU_C";"Keine";"2e38efb3-b4e9-4528-96a6-69d0c0f8e5e2";;;;"Audi A3 Sportback - EU (2021)"
"Audi A3 Sportback TFSI e (2021)";"Audi";"Premium";"Audi A3";"14.12.2020";"2021";"Neuentwicklung";"aktuell";"A (Kompaktklasse)";"Hatchback";"Hatchback standard";"PHEV";"AU380/1EU_P";"Keine";"eee10ce7-a1ef-4205-94cd-96f743eaa908";;;;"Audi A3 Sportback - EU (2021)"
"Audi A3L - CN (2021)";"Audi";"Premium";"Audi A3";"18.01.2021";"2021";"Neuentwicklung";"aktuell";"A (Kompaktklasse)";"Sedan";"Sedan Standard";"ICE";"AU381/0CN_KL";"Keine";"ae32d12f-eae3-48d1-8d65-27488f72c5ad";;;;"Audi A3 Limousine - EU (2021)"
"Audi A4 B5 Avant (1997)";"Audi";"Premium";"Audi A4";"01.01.1996";"1997";"Neuentwicklung";"ausgelaufen";"B (Mittelklasse)";"Estate";"Estate standard";"ICE";"AU452/0EU_K";"Keine";"153deac4-1761-4f86-abcb-60d7a3d16a4c";;;"Audi A4 B5 duo (1998)|Audi RS4 B5 (2000)|Audi S4 B5 Avant (1998)";
"Audi A4 B5 duo (1998)";"Audi";"Premium";"Audi A4";"01.01.1997";"1998";"Neuentwicklung";"ausgelaufen";"B (Mittelklasse)";"Estate";;"ICE";;"Keine";"04dce795-4d19-41f2-a2d9-e1fd9245ea86";;;;"Audi A4 B5 Avant (1997)"
"Audi A4 B5 Limousine (1995)";"Audi";"Premium";"Audi A4";"01.11.1994";"1995";"Neuentwicklung";"ausgelaufen";"B (Mittelklasse)";"Sedan";"Sedan Standard";"ICE";"AU451/0EU_K";"Keine";"0fe694a2-cbf9-4f73-a4a7-6d2d58d28a74";;;"Audi S4 B5 Limousine (1998)";
"Audi A4 B6 Avant (2002)";"Audi";"Premium";"Audi A4";"01.09.2001";"2002";"Neuentwicklung";"ausgelaufen";"B (Mittelklasse)";"Estate";"Estate standard";"ICE";"AU462/0EU_K";"Keine";"0da1cf97-a98d-4385-a768-5f22269e3cfb";;;"Audi S4 B6 Avant (2003)";
"Audi A4 B6 Cabriolet (2003)";"Audi";"Premium";"Audi A4";"01.04.2002";"2003";"Neuentwicklung";"ausgelaufen";"B (Mittelklasse)";"Cabriolet/Roadster";"Cabriolet";"ICE";"AU465/2EU_K";"Keine";"efbf0bee-2226-4795-859a-4f3a797fddf6";;;"Audi S4 B6 Cabriolet (2004)";
"Audi A4 B6 Limousine - CN (2003)";"Audi";"Premium";"Audi A4";"01.01.2003";"2003";"Neuentwicklung";"ausgelaufen";"B (Mittelklasse)";"Sedan";"Sedan Standard";"ICE";"AU461/0CN_K";"Keine";"f9371b75-084e-43c9-b8fe-3706db9d4d99";;;;"Audi A4 B6 Limousine - EU (2001)"
"Audi A4 B6 Limousine - EU (2001)";"Audi";"Premium";"Audi A4";"01.10.2000";"2001";"Neuentwicklung";"ausgelaufen";"B (Mittelklasse)";"Sedan";"Sedan Standard";"ICE";"AU461/0EU_K";"Keine";"85e41bcf-cdf4-4b1c-8643-72bcc64a54c7";;;"Audi A4 B6 Limousine - CN (2003)|Audi S4 B6 Limousine (2003)";
"Audi A4 B7 Avant (2005)";"Audi";"Premium";"Audi A4";"01.11.2004";"2005";"Facelift";"ausgelaufen";"B (Mittelklasse)";"Estate";"Estate standard";"ICE";"AU472/0EU_K";"Keine";"75c975cc-d32d-4dc3-865a-26adc6793233";;;"Audi RS4 B7 Avant (2007)|Audi S4 B7 Avant (2005)";
"Audi A4 B7 Cabriolet (2007)";"Audi";"Premium";"Audi A4";"01.01.2006";"2007";"Facelift";"ausgelaufen";"B (Mittelklasse)";"Cabriolet/Roadster";"Cabriolet";"ICE";"AU475/2EU_K";"Keine";"77ea905c-c3bd-4b83-be58-9456a1fd1935";;;"Audi RS4 B7 Cabriolet (2007)|Audi S4 B7 Cabriolet (2006)";
